序号,类型,预览方式,说明,状态,优先级,负责人,部门,创建日,更新日,列K,列L,列M,列N,列O,列P,列Q,列R
1,CSV,HTML表,示例内容 R1 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,2,用户2,产品,2026-02-02,2026-02-03,D1C11 扩展列数据,D1C12 扩展列数据,D1C13 扩展列数据,D1C14 扩展列数据,D1C15 扩展列数据,D1C16 扩展列数据,D1C17 扩展列数据,D1C18 扩展列数据
2,PDF,PDF.js,示例内容 R2 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,3,用户3,设计,2026-03-03,2026-03-04,D2C11 扩展列数据,D2C12 扩展列数据,D2C13 扩展列数据,D2C14 扩展列数据,D2C15 扩展列数据,D2C16 扩展列数据,D2C17 扩展列数据,D2C18 扩展列数据
3,图片,灯箱,示例内容 R3 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,4,用户4,运营,2026-04-04,2026-04-05,D3C11 扩展列数据,D3C12 扩展列数据,D3C13 扩展列数据,D3C14 扩展列数据,D3C15 扩展列数据,D3C16 扩展列数据,D3C17 扩展列数据,D3C18 扩展列数据
4,视频,播放器,示例内容 R4 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,5,用户5,研发,2026-05-05,2026-05-06,D4C11 扩展列数据,D4C12 扩展列数据,D4C13 扩展列数据,D4C14 扩展列数据,D4C15 扩展列数据,D4C16 扩展列数据,D4C17 扩展列数据,D4C18 扩展列数据
5,音频,播放器,示例内容 R5 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,1,用户6,产品,2026-06-06,2026-06-07,D5C11 扩展列数据,D5C12 扩展列数据,D5C13 扩展列数据,D5C14 扩展列数据,D5C15 扩展列数据,D5C16 扩展列数据,D5C17 扩展列数据,D5C18 扩展列数据
6,Office,转PDF,示例内容 R6 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,2,用户7,设计,2026-07-07,2026-07-08,D6C11 扩展列数据,D6C12 扩展列数据,D6C13 扩展列数据,D6C14 扩展列数据,D6C15 扩展列数据,D6C16 扩展列数据,D6C17 扩展列数据,D6C18 扩展列数据
7,Markdown,正文渲染,示例内容 R7 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,3,用户8,运营,2026-08-08,2026-08-09,D7C11 扩展列数据,D7C12 扩展列数据,D7C13 扩展列数据,D7C14 扩展列数据,D7C15 扩展列数据,D7C16 扩展列数据,D7C17 扩展列数据,D7C18 扩展列数据
8,CSV,HTML表,示例内容 R8 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,4,用户9,研发,2026-09-09,2026-09-10,D8C11 扩展列数据,D8C12 扩展列数据,D8C13 扩展列数据,D8C14 扩展列数据,D8C15 扩展列数据,D8C16 扩展列数据,D8C17 扩展列数据,D8C18 扩展列数据
9,PDF,PDF.js,示例内容 R9 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,5,用户10,产品,2026-01-10,2026-01-11,D9C11 扩展列数据,D9C12 扩展列数据,D9C13 扩展列数据,D9C14 扩展列数据,D9C15 扩展列数据,D9C16 扩展列数据,D9C17 扩展列数据,D9C18 扩展列数据
10,图片,灯箱,示例内容 R10 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,1,用户11,设计,2026-02-11,2026-02-12,D10C11 扩展列数据,D10C12 扩展列数据,D10C13 扩展列数据,D10C14 扩展列数据,D10C15 扩展列数据,D10C16 扩展列数据,D10C17 扩展列数据,D10C18 扩展列数据
11,视频,播放器,示例内容 R11 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,2,用户12,运营,2026-03-12,2026-03-13,D11C11 扩展列数据,D11C12 扩展列数据,D11C13 扩展列数据,D11C14 扩展列数据,D11C15 扩展列数据,D11C16 扩展列数据,D11C17 扩展列数据,D11C18 扩展列数据
12,音频,播放器,示例内容 R12 用于测试横向与纵向滚动，本单元格可稍长一些。,已实现,3,用户1,研发,2026-04-13,2026-04-14,D12C11 扩展列数据,D12C12 扩展列数据,D12C13 扩展列数据,D12C14 扩展列数据,D12C15 扩展列数据,D12C16 扩展列数据,D12C17 扩展列数据,D12C18 扩展列数据
13,Office,转PDF,示例内容 R13 用于测试横向与纵向滚动，本单元格可稍长一些。,部分,4,用户2,产品,2026-05-14,2026-05-15,D13C11 扩展列数据,D13C12 扩展列数据,D13C13 扩展列数据,D13C14 扩展列数据,D13C15 扩展列数据,D13C16 扩展列数据,D13C17 扩展列数据,D13C18 扩展列数据
14,Markdown,正文渲染,示例内容 R14 用于测试横向与纵向滚动，本单元格可稍长一些。,规划中,5,用户3,设计,2026-06-15,2026-06-16,D14C11 扩展列数据,D14C12 扩展列数据,D14C13 扩展列数据,D14C14 扩展列数据,D14C15 扩展列数据,D14C16 扩展列数据,D14C17 扩展列数据,D14C18 扩展列数据
